wd18cd,wd18nm,LAD18CD,LAD18NM,winning_party,second_party,winning_votes,second_votes,all_votes,electorate,no_spoiled,prev_party
E05000650,Astley Bridge,E08000001,Bolton,CON,LD,1732,1417,4432,10290,17,CON
E05000651,Bradshaw,E08000001,Bolton,CON,LAB,1888,464,3409,8978,16,CON
E05000652,Breightmet,E08000001,Bolton,CON,LAB,1344,1060,3380,9600,10,LAB
E05000653,Bromley Cross,E08000001,Bolton,CON,LAB,2566,658,4127,10382,24,CON
E05000654,Crompton,E08000001,Bolton,LAB,CON,2078,1243,4128,10880,15,LAB
E05000655,Farnworth,E08000001,Bolton,FKF,LAB,1863,1270,3531,10515,9,LAB
E05000656,Great Lever,E08000001,Bolton,LAB,CON,1928,1254,3747,9791,19,LAB
E05000657,Halliwell,E08000001,Bolton,LAB,UKIP,1770,295,2793,8830,11,LAB
E05000658,Harper Green,E08000001,Bolton,LAB,FKF,1484,923,3207,9874,15,LAB
E05000659,Heaton and Lostock,E08000001,Bolton,CON,LAB,2324,1026,4304,10627,14,CON
E05000660,Horwich and Blackrod,E08000001,Bolton,IND,LAB,1482,1041,3989,10495,26,LAB
E05000661,Horwich North East,E08000001,Bolton,IND,LD,1577,984,4225,9835,25,LAB
E05000662,Hulton,E08000001,Bolton,CON,LAB,1617,1157,3477,9994,11,LAB
E05000663,Kearsley,E08000001,Bolton,FKF,LAB,2376,529,3521,10411,13,LAB
E05000664,Little Lever and Darcy Lever,E08000001,Bolton,UKIP,CON,1395,1060,3574,9623,22,UKIP
E05000665,Rumworth,E08000001,Bolton,LAB,CON,2541,380,3500,9809,11,LAB
E05000666,Smithills,E08000001,Bolton,LD,LAB,1968,864,3782,10333,14,LD
E05000667,Tonge with the Haulgh,E08000001,Bolton,LAB,CON,1152,760,2744,8812,15,LAB
E05000668,Westhoughton North and Chew Moor,E08000001,Bolton,LD,CON,1565,1270,4034,10870,23,CON
E05000669,Westhoughton South,E08000001,Bolton,LD,LAB,1114,889,3383,9749,14,LAB
E05000670,Besses,E08000002,Bury,LAB,CON,1007,433,2134,8208,21,LAB
E05000671,Church,E08000002,Bury,CON,LAB,1913,925,3443,8397,50,CON
E05000672,East,E08000002,Bury,LAB,CON,1418,428,2262,8377,48,LAB
E05000673,Elton,E08000002,Bury,LAB,CON,1259,1243,3080,8556,52,CON
E05000674,Holyrood,E08000002,Bury,LD,LAB,1995,1009,3586,8539,9,LD
E05000675,Moorside,E08000002,Bury,LAB,CON,1198,829,2568,8854,50,LAB
E05000676,North Manor,E08000002,Bury,CON,LAB,1699,942,3457,8039,47,CON
E05000677,Pilkington Park,E08000002,Bury,CON,LAB,1482,951,2991,7478,11,CON
E05000678,Radcliffe East,E08000002,Bury,IND,LAB,1045,979,3205,8902,19,LAB
E05000679,Radcliffe North,E08000002,Bury,CON,LAB,1507,1171,3117,8659,27,LAB
E05000680,Radcliffe West,E08000002,Bury,LAB,IND,886,806,2278,8438,17,LAB
E05000681,Ramsbottom,E08000002,Bury,LAB,CON,1645,1459,3695,9011,55,CON
E05000682,Redvales,E08000002,Bury,LAB,CON,1511,1213,3252,9033,41,LAB
