id,name,model,type,total,majority,coalition,con,lab,ld,grn,ukip,pc,snp,ind,vacant,boundary,"ons code","start of records (or creation of council)","end of records (or abolition of council)",url,last
406,"City of London",,,125,IND,IND,0,5,0,0,0,0,0,120,0,,E09000001,2016,2023,http://democracy.cityoflondon.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2019-04-30
405,"Isles of Scilly",,,16,IND,IND,0,0,0,0,0,0,0,15,1,,E06000053,2016,2023,http://committees.scilly.gov.uk/mgMemberIndex.aspx?bcr=1,2019-04-26
1,Buckinghamshire,C1,LC,49,CON,CON,39,1,4,0,0,0,0,5,0,,,2016,2023,https://democracy.buckscc.gov.uk/mgMemberIndex.aspx?FN=GROUPING&VW=TABLE&PIC=1,2019-04-26
2,Cambridgeshire,C1,LC,61,CON,CON,36,7,15,0,0,0,0,3,0,,,2016,2023,https://cambridgeshire.cmis.uk.com/ccc_live/Councillors.aspx,2019-05-08
3,Cumbria,C1,LC,84,NOC,LAB/LD,37,26,16,0,0,0,0,5,0,,,2016,2023,http://councilportal.cumbria.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2019-04-26
4,Derbyshire,C1,LC,64,CON,CON,37,24,3,0,0,0,0,0,0,,,2016,2023,http://www.derbyshire.gov.uk/council/councillors/,2019-04-26
5,Devon,C1,LC,60,CON,CON,42,7,6,1,0,0,0,4,0,,,2016,2023,http://democracy.devon.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2019-04-26
6,Dorset,C1,LC,46,CON,CON,33,1,10,2,0,0,0,0,0,"Merged with rural dorset councils to form Dorset from 2019",,2016,2018,http://dorset.moderngov.co.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2019-04-26
7,"East Sussex",C1,LC,50,CON,CON,30,4,11,0,0,0,0,5,0,,,2016,2023,https://democracy.eastsussex.gov.uk/mgMemberIndex.aspx?FN=PARTY&VW=LIST&PIC=0,2019-04-26
8,Essex,C1,LC,75,CON,CON,53,6,8,1,0,0,0,7,0,,,2016,2023,http://cmis.essexcc.gov.uk/essexcmis5/Councillors/tabid/62/ScreenMode/Alphabetical/Default.aspx,2019-04-26
